month,country_code,downloads
2026-02,AL,1
2026-02,BG,1
2026-02,CA,4
2026-02,CD,2
2026-02,CH,8
2026-02,CN,70
2026-02,DE,20
2026-02,EE,1
2026-02,ES,1
2026-02,ET,2
2026-02,FI,3
2026-02,FR,37
2026-02,GB,5
2026-02,HK,48
2026-02,HU,4
2026-02,IN,3
2026-02,IT,14
2026-02,KR,4
2026-02,MX,8
2026-02,NL,5
2026-02,NZ,1
2026-02,PE,22
2026-02,PT,1
2026-02,SE,1
2026-02,SG,10
2026-02,SV,4
2026-02,TW,2
2026-02,US,187
2026-02,VN,2
2026-02,ZA,9
2026-03,CA,2
2026-03,CH,4
2026-03,CN,4
2026-03,DE,26
2026-03,ES,5
2026-03,FI,1
2026-03,FR,24
2026-03,GB,2
2026-03,HK,45
2026-03,IT,6
2026-03,KR,2
2026-03,MX,2
2026-03,NL,2
2026-03,PL,4
2026-03,PY,2
2026-03,QA,1
2026-03,SE,1
2026-03,SG,38
2026-03,US,123
2026-03,VN,1
