PLOTID,Geo id,Area ha,Country,system:index,EUFO 2020,GLAD Primary,TMF undist,JAXA FNF 2020,GFC TC 2020,GLAD LULC 2020,ESA TC 2020,TMF disturbed,RADD alerts,TMF plant,Oil palm Descals,Oil palm FDaP,Cocoa ETH,WDPA
1,bd621d22700f2ee9cbe22c159743783bd6e05c96b9c0f656e7b03faeeb32eff0,0.0,CIV,000000000000000005b1,100,0,100,100,100,100,100,0,-,0,0,0,100,-
3,07a4cf5e6f32d47d2a48adce37a586276ba2921eaffee06977cf9928ffd9bc1f,0.0,CIV,0000000000000000119e,0,0,0,100,100,0,100,0,-,0,0,0,0,-
4,97b845986321c34bfb3ced82696a480377a266dd9dce6c2a430b0d7023fa6932,0.0,CIV,0000000000000000021d,100,0,100,100,100,100,100,0,-,0,0,0,100,-
5,77c4b9f0b5ee458a58746b6a1e26d8212f34fca69b23a9d3458e1a5caae583cf,0.0,CIV,000000000000000004b2,100,0,0,100,0,100,100,100,-,0,0,0,100,-
6,0747d55d8a8d806ce76f3b76e5cd37941415b50b26f5786bef7a8f59798afacc,0.0,CIV,00000000000000000e59,100,0,0,100,100,100,100,100,-,0,0,0,100,-
7,87a501182efeef2eb55811a5df678e22b1159c138d6c293d609f0a11a4ef9dcc,0.0,CIV,00000000000000000ef7,100,0,100,100,100,100,50,0,-,0,0,0,0,-
8,6d3abf1c5a676eb57c8eac095127f4617e52d88620600f2ace19d100f1a69294,0.0,CIV,000000000000000011a1,100,0,100,100,100,100,100,0,-,0,0,0,0,-
9,f589b3d9250942b0001b8e91d53829ecae241bc49707497b7277c8303ac746f9,0.0,CIV,00000000000000000328,0,0,0,100,67,0,100,100,-,0,0,0,100,-
10,203b446b19b544eea7d3d829eb61cd999db6618ac425524265372ef15126e5f4,0.0,CIV,00000000000000000844,100,0,33,100,100,100,100,67,-,0,0,0,0,-
11,323730486b66e5690bb648fcfe4c3cb082e8b40f2515e7ef1e5eea1d56e36d75,0.0,CIV,00000000000000000967,100,0,99,100,34,100,100,1,-,0,0,0,100,True
12,5061200a78d9e59a43c7585df321b8e6c37290ac0de638a3bffbce85fd27ab06,0.0,CIV,00000000000000000fa4,100,0,100,100,67,100,100,0,-,0,0,0,0,-
13,10163cac76ed8e9651d82134bc2b583439db34671eca10d47c7f1538d109514f,0.0,CIV,00000000000000001195,100,0,67,100,66,100,100,33,-,0,0,0,0,-
14,fd658d695b03390bddd19df76217851f0d374f268c0ec9b4b7b6a10ad9362573,0.0,CIV,000000000000000002a4,100,0,50,100,100,100,100,50,-,0,0,0,100,-
15,1b0b7fa2618e75b741cf409073cb7151d8daf1dd54d836702dcbbd51ed773542,0.0,CIV,00000000000000000532,100,0,0,100,100,100,100,50,-,0,0,0,0,-
16,604d4807d48d6ab17f6b470969aff98ef79e0126eb31f4a7a791536962dfa26d,0.0,CIV,0000000000000000056f,100,0,100,100,100,100,100,0,-,0,0,0,0,-
17,aada46ed3f425a27c35202e7a799d435f9663169e3023633f223818f0aabf793,0.0,CIV,00000000000000000a8d,100,0,100,100,100,100,100,0,-,0,0,0,0,-
18,5db7d3ca21ce7390f39c4a47929891d7d29fe2dede4a313d5b1bfc9d96c4c363,0.0,CIV,00000000000000000d5d,100,0,0,100,100,100,100,100,-,0,0,0,0,-
19,7283859a9cddac7db718e2751c2742945ddbde86f75c6cb875df488880772534,0.0,CIV,00000000000000000e1e,100,0,0,100,100,100,100,99,-,0,0,0,100,-
20,93b16c1bd0352076bb17fea1e6c203756687cfac8a1499cebe417323ef7423fd,0.0,CIV,00000000000000000e3c,100,0,75,100,100,100,100,25,-,0,0,0,0,-
21,d215c537d36f272178db7d51a2cbab97560fba7c031586a2f6836bdfcf7ee796,0.0,CIV,00000000000000000e5a,75,0,0,100,75,100,100,75,-,0,0,0,0,-
22,1ad3055dee79e42843fc168c57faf0c45d75ba846bfb9d1af800508b8cb1956f,0.0,CIV,00000000000000001174,0,0,0,100,100,100,100,100,-,0,0,0,100,-
23,a677ace37bc12c04fee642d7dfd7cd8fd9808db63762df37a1b06dcd757f3531,0.0,CIV,000000000000000013f9,100,0,0,100,50,100,100,75,-,0,0,0,0,-
24,20b23c5b7252d9dd2f950478022b9dc1922755cd02b4bba6b9962e0e77484516,0.0,CIV,00000000000000000350,100,0,0,100,100,100,100,100,-,0,0,0,100,-
25,a15e32334e3baeb9d01f72add4a4662d47ec56e13256ded8b432275e5e6afdc3,0.1,CIV,0000000000000000072f,100,0,100,100,100,100,100,0,-,0,0,0,0,-
26,ee2fe714982f868716b3b4a7f31c0984c4c9ebb8e399e2dc0ccc01cbaca709cb,0.1,CIV,0000000000000000073a,100,0,0,100,60,100,100,100,-,0,0,0,100,-
27,d23e9d6a4b81cd9b67123476ef975bedbd1c52294a2b947a0fae5b1090d2626c,0.0,CIV,00000000000000000cda,100,0,100,100,60,100,100,0,-,0,0,0,100,-
28,b3528238f619a7f3e144fd6b1fc432f66ef0be7a07bff66750f923a4e0218e6c,0.0,CIV,0000000000000000105c,100,0,0,100,100,100,100,100,-,0,0,0,19,-
29,8342d2b52cf673577d7443ab3adafcc327fe28f0b1f75c3f2147bafe505bafc4,0.0,CIV,00000000000000001480,0,0,0,0,100,0,60,0,-,0,0,0,0,-
30,cc2ccde403dc706624883628c92c43a2ed9cdc0f98e8ece04eb02f3642b92763,0.1,CIV,0000000000000000005a,0,0,0,0,67,0,83,0,-,0,0,0,0,-
31,7b8ed834b64731a72333abbe0da40e45085b51d69a62596459b51c5747a0c3c6,0.1,CIV,0000000000000000046b,34,0,1,100,99,100,100,99,-,0,0,0,0,-
32,6bb7cfc1a4d2b5b1e4f5ad0e114092167d6574e8b276caad4c19fcdfd9a91551,0.1,CIV,000000000000000004b3,100,0,66,100,0,34,99,34,-,0,0,0,0,-
