system:index,Admin_Level_1,Centroid_lat,Centroid_lon,Cocoa_ETH,Cocoa_bnetd,Country,ESA_TC_2020,ESA_fire_2001,ESA_fire_2002,ESA_fire_2003,ESA_fire_2004,ESA_fire_2005,ESA_fire_2006,ESA_fire_2007,ESA_fire_2008,ESA_fire_2009,ESA_fire_2010,ESA_fire_2011,ESA_fire_2012,ESA_fire_2013,ESA_fire_2014,ESA_fire_2015,ESA_fire_2016,ESA_fire_2017,ESA_fire_2018,ESA_fire_2019,ESA_fire_2020,ESA_fire_before_2020,EUFO_2020,GFC_TC_2020,GFC_loss_after_2020,GFC_loss_before_2020,GFC_loss_year_2001,GFC_loss_year_2002,GFC_loss_year_2003,GFC_loss_year_2004,GFC_loss_year_2005,GFC_loss_year_2006,GFC_loss_year_2007,GFC_loss_year_2008,GFC_loss_year_2009,GFC_loss_year_2010,GFC_loss_year_2011,GFC_loss_year_2012,GFC_loss_year_2013,GFC_loss_year_2014,GFC_loss_year_2015,GFC_loss_year_2016,GFC_loss_year_2017,GFC_loss_year_2018,GFC_loss_year_2019,GFC_loss_year_2020,GFC_loss_year_2021,GFC_loss_year_2022,GFC_loss_year_2023,GLAD_Primary,Geometry_type,JAXA_FNF_2020,KBA,MODIS_fire_2000,MODIS_fire_2001,MODIS_fire_2002,MODIS_fire_2003,MODIS_fire_2004,MODIS_fire_2005,MODIS_fire_2006,MODIS_fire_2007,MODIS_fire_2008,MODIS_fire_2009,MODIS_fire_2010,MODIS_fire_2011,MODIS_fire_2012,MODIS_fire_2013,MODIS_fire_2014,MODIS_fire_2015,MODIS_fire_2016,MODIS_fire_2017,MODIS_fire_2018,MODIS_fire_2019,MODIS_fire_2020,MODIS_fire_2021,MODIS_fire_2022,MODIS_fire_2023,MODIS_fire_2024,MODIS_fire_after_2020,MODIS_fire_before_2020,Oil_palm_Descals,Oil_palm_FDaP,Plot_area_ha,RADD_after_2020,RADD_before_2020,RADD_year_2019,RADD_year_2020,RADD_year_2021,RADD_year_2022,RADD_year_2023,RADD_year_2024,Rubber_RBGE,TMF_def_2000,TMF_def_2001,TMF_def_2002,TMF_def_2003,TMF_def_2004,TMF_def_2005,TMF_def_2006,TMF_def_2007,TMF_def_2008,TMF_def_2009,TMF_def_2010,TMF_def_2011,TMF_def_2012,TMF_def_2013,TMF_def_2014,TMF_def_2015,TMF_def_2016,TMF_def_2017,TMF_def_2018,TMF_def_2019,TMF_def_2020,TMF_def_2021,TMF_def_2022,TMF_def_after_2020,TMF_def_before_2020,TMF_deg_2000,TMF_deg_2001,TMF_deg_2002,TMF_deg_2003,TMF_deg_2004,TMF_deg_2005,TMF_deg_2006,TMF_deg_2007,TMF_deg_2008,TMF_deg_2009,TMF_deg_2010,TMF_deg_2011,TMF_deg_2012,TMF_deg_2013,TMF_deg_2014,TMF_deg_2015,TMF_deg_2016,TMF_deg_2017,TMF_deg_2018,TMF_deg_2019,TMF_deg_2020,TMF_deg_2021,TMF_deg_2022,TMF_deg_after_2020,TMF_deg_before_2020,TMF_plant,TMF_undist,Unit,WDPA,water_flag,.geo
0,Ashanti Region,6.159539574278987,-1.6119419952259373,0.0,0.0,GHA,1.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.387,0.0,1.552,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.0,0.951,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Polygon,1.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,1.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.04,0.212,0.065,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.511,0.0,0.615,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Ashanti Region,6.104735332799037,-1.6447324753175234,0.01,0.0,GHA,3.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.785,1.428,0.743,2.724,1.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.356,0.089,1.114,0.297,0.112,0.334,0.0,Polygon,4.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,4.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.051,0.521,0.639,0.0,0.024,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.284,0.146,0.089,0.937,0.0,0.089,0.089,2.88,0.146,0.445,0.094,0.608,0.0,0.082,0.0,0.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.971,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Western Region,5.981148900637887,-2.1571435601632793,0.0,0.0,GHA,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.491,Polygon,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,16.600,1.063,1.11,0.0,1.11,0.491,0.069,0.11,0.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.178,0.089,0.0,0.0,0.401,0.0,0.0,0.089,0.738,0.0,15.862,ha,15.719,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,South Sumatra,-3.0546676189238666,103.95609577079756,0.0,0.0,IDN,29.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.213,0.0,0.176,0.0,31.022,0.0,0.0,0.0,0.0,0.0,28.443,0.271,0.0,0.0,0.0,0.0,2.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Polygon,1.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.403,30.86,9.592,31.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,2.321,0.0,0.0,0.0,0.0,19.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.213,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,South Sumatra,-3.0688307035962517,103.97037141003977,0.0,0.0,IDN,1.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Polygon,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,1.757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.954,0.264,0.055,0.0,0.0,0.0,0.0,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,South Sumatra,-3.0829219070479663,103.97518193266538,0.0,0.0,IDN,12.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.984,10.545,0.0,1.899,0.0,0.0,0.442,0.019,0.0,0.0,0.0,0.0,0.683,0.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.1,0.0,0.0,0.0,0.0,Polygon,12.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907,0.0,0.0,0.0,0.0,0.022,0.0,0.268,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.453,0.545,0.0,0.0,0.0,0.462,0.0,0.179,0.089,0.062,0.211,0.179,0.566,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,7.558,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,South Sumatra,-3.083807754540335,103.97751194325912,0.0,0.0,IDN,20.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,11.238,0.0,9.043,0.0,0.0,1.319,1.289,0.531,0.0,0.0,0.0,3.008,1.78,0.0,0.0,0.0,1.041,0.0,0.0,0.045,0.029,0.0,0.0,0.0,0.0,0.0,0.0,Polygon,20.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,1.875,1.263,0.245,0.089,0.0,0.0,0.085,0.274,0.536,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.546,0.106,0.179,0.0,0.0,1.25,0.0,0.089,0.0,0.089,0.164,0.346,1.512,0.429,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,4.253,0.0,5.569,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Lagunes,5.711934574136514,-4.1016461529645305,0.0,3.013,CIV,6.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,5.085,1.602,3.194,0.745,0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.0,0.012,0.0,0.089,0.579,0.0,0.208,0.0,0.904,0.232,0.0,0.089,0.0,1.513,0.001,Polygon,7.834,8.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.279,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.222,0.481,0.178,0.0,0.0,0.089,0.089,0.0,0.0,0.336,0.0,0.178,0.0,0.178,0.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.535,0.201,0.987,0.462,0.0,0.0,0.0,0.089,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.037,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.795,0.0,0.006,ha,8.279,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,Lagunes,5.673810500303899,-4.086848277820016,1.494,0.006,CIV,1.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.652,1.546,0.0,0.435,0.0,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.085,0.0,0.001,0.0,0.0,0.0,0.0,Polygon,1.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.137,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.924,0.103,0.053,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803,0.0,0.0,ha,1.981,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,District Autonome D'Abidjan,5.57213627672752,-4.119589490048954,0.0,0.05,CIV,3.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.212,2.636,0.0,1.161,0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.326,0.0,0.023,0.22,0.0,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.0,0.0,Polygon,3.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.019,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.0,0.0,ha,0.0,-,"{""type"":""MultiPoint"",""coordinates"":[]}"
