PLOTID,Geo id,Area ha,Country,EUFO 2020,GLAD Primary,TMF undist,JAXA FNF 2020,GFC TC 2020,GLAD LULC 2020,ESRI TC 2020,TMF disturbed,RADD alerts,TMF plant,Oil palm Descals,Oil palm FDaP,Cocoa ETH,WDPA,OECM,KBA
1,88bec54ad04804f5b1fafbc131266640a129be2840fa6797cda358d7e831b907,1.9,GHA,19,0,0,100,20,84,100,34,-,0,0,0,0,-,-,-
2,ef2f7c46fbe4fc892fdb81f9a31c9c507b9f1e4548504247dcbbab28cf8e436c,4.2,GHA,19,0,5,99,35,47,100,83,-,0,0,0,0,-,-,-
3,97408ef7bdac487e4a42e4abf20492b786310889fd4b0478603e2d0004c40bfb,16.7,GHA,100,87,95,100,100,89,100,5,True,0,0,0,0,True,-,-
4,c288d6c94efa9011c0e3452af9f7fa0941661377030e10d29c68764617f9816d,31.4,IDN,0,0,0,5,0,71,6,0,-,100,98,82,0,-,-,-
5,1a41a309ae2387f36a604c9a6c81887e64357a7f61d228758e23ef766286fcd7,2.0,IDN,0,0,0,85,0,19,100,13,-,0,0,4,0,-,-,-
6,1a4472dc40700ef33f931863f58d444f243d64418616678fcf85c57e1f4bbf45,12.8,IDN,62,0,60,100,83,97,100,39,-,0,0,68,0,-,-,-
7,8e2accea7ddbb84b7f6001e00bcb60f57f563c80633b53859993522a6f05727a,21.0,IDN,28,0,31,96,53,95,100,67,-,0,0,51,0,-,-,-
8,0520cfac98fbc1bd7952b1c07a9f6983b83625722b6f665ea83ac9aad3512918,8.3,CIV,5,0,0,95,62,20,100,10,True,0,0,0,0,True,-,True
9,b84f55de2b7f3c77d1cbeb8b026a1b29be42d8b08d92058c9143e0556456820f,2.0,CIV,33,0,0,73,78,15,100,23,True,0,0,0,73,True,-,-
10,b7c15efb6e3c63fcfe649a2d994973a6f5caa844f720f0edb7cf24f6a6c3c1b3,3.8,CIV,58,0,0,99,70,79,100,74,-,0,0,0,0,-,-,-
11,fa2aff0d60cf1bc0e1f1dd4b91daf932940c31c021ca1b84f5b9445855eef02f,3.6,CIV,41,0,0,99,44,99,100,6,-,0,0,0,0,-,-,-
