ISO3_code,ADM0_CODE,official_name_en
TWN,925,Taiwan
AFG,1,Afghanistan
ALB,3,Albania
DZA,4,Algeria
ASM,5,American Samoa
AND,7,Andorra
AGO,8,Angola
AIA,9,Anguilla
ATA,10,Antarctica
ATG,11,Antigua and Barbuda
ARG,12,Argentina
ARM,13,Armenia
ABW,14,Aruba
AUS,17,Australia
AUT,18,Austria
AZE,19,Azerbaijan
BHS,20,Bahamas
BHR,21,Bahrain
BGD,23,Bangladesh
BRB,24,Barbados
BLR,26,Belarus
BEL,27,Belgium
BLZ,28,Belize
BEN,29,Benin
BMU,30,Bermuda
BTN,31,Bhutan
BOL,33,Bolivia (Plurinational State of)
BES,176,"Bonaire, Sint Eustatius and Saba"
BIH,34,Bosnia and Herzegovina
BWA,35,Botswana
BVT,36,Bouvet Island
BRA,37,Brazil
IOT,38,British Indian Ocean Territory
VGB,39,British Virgin Islands
BRN,40,Brunei Darussalam
BGR,41,Bulgaria
BFA,42,Burkina Faso
BDI,43,Burundi
CPV,47,Cabo Verde
KHM,44,Cambodia
CMR,45,Cameroon
CAN,46,Canada
CYM,48,Cayman Islands
CAF,49,Central African Republic
TCD,50,Chad
CHL,51,Chile
CHN,53,China
HKG,33364,"China, Hong Kong Special Administrative Region"
MAC,149,"China, Macao Special Administrative Region"
CXR,54,Christmas Island
CCK,56,Cocos (Keeling) Islands
COL,57,Colombia
COM,58,Comoros
COG,59,Congo
COK,60,Cook Islands
CRI,61,Costa Rica
HRV,62,Croatia
CUB,63,Cuba
CYP,64,Cyprus
CZE,65,Czechia
CIV,66,Côte d'Ivoire
PRK,67,Democratic People's Republic of Korea
COD,68,Democratic Republic of the Congo
DNK,69,Denmark
DJI,70,Djibouti
DMA,71,Dominica
DOM,72,Dominican Republic
ECU,73,Ecuador
EGY,40765,Egypt
SLV,75,El Salvador
GNQ,76,Equatorial Guinea
ERI,77,Eritrea
EST,78,Estonia
SWZ,235,Eswatini
ETH,79,Ethiopia
FLK,81,Falkland Islands (Malvinas)
FRO,82,Faroe Islands
FJI,83,Fiji
FIN,84,Finland
FRA,85,France
GUF,86,French Guiana
PYF,87,French Polynesia
ATF,88,French Southern Territories
GAB,89,Gabon
GMB,90,Gambia
GEO,92,Georgia
DEU,93,Germany
GHA,94,Ghana
GIB,95,Gibraltar
GRC,97,Greece
GRL,98,Greenland
GRD,99,Grenada
GLP,100,Guadeloupe
GUM,101,Guam
GTM,103,Guatemala
GGY,104,Guernsey
GIN,106,Guinea
GNB,105,Guinea-Bissau
GUY,107,Guyana
HTI,108,Haiti
HMD,109,Heard Island and McDonald Islands
VAT,110,Holy See
HND,111,Honduras
HUN,113,Hungary
ISL,114,Iceland
IND,115,India
IDN,116,Indonesia
IRN,117,Iran (Islamic Republic of)
IRQ,118,Iraq
IRL,119,Ireland
IMN,120,Isle of Man
ISR,121,Israel
ITA,122,Italy
JAM,123,Jamaica
