ADM0_CODE,Country
2647,Montenegro
2648,Serbia
74,South Sudan
6,Sudan
147296,Taiwan
56,Cocos (Keeling) Islands
54,Christmas Island
16,Ashmore and Cartier Islands
82,Faroe Islands
161,Mayotte
206,Réunion
247,Tromelin Island
131,Juan de Nova Island
96,Glorioso Island
80,Europa Island
25,Bassas da India
210,Saint Pierre et Miquelon
88,French Southern and Antarctic Territories
46,Canada
170,Mozambique
160,Mauritius
152,Malawi
205,Rwanda
226,Somalia
270,Zambia
133,Kenya
150,Madagascar
220,Seychelles
257,United Republic of Tanzania
253,Uganda
271,Zimbabwe
79,Ethiopia
77,Eritrea
70,Djibouti
58,Comoros
43,Burundi
89,Gabon
76,Equatorial Guinea
50,Chad
214,Sao Tome and Principe
59,Congo
68,Democratic Republic of the Congo
45,Cameroon
49,Central African Republic
8,Angola
169,Morocco
145,Libya
248,Tunisia
40765,Egypt
4,Algeria
172,Namibia
235,Swaziland
142,Lesotho
227,South Africa
35,Botswana
243,Togo
221,Sierra Leone
217,Senegal
182,Nigeria
181,Niger
159,Mauritania
155,Mali
144,Liberia
105,Guinea-Bissau
90,Gambia
106,Guinea
94,Ghana
47,Cape Verde
66,Côte d'Ivoire
42,Burkina Faso
29,Benin
259,United States of America
37,Brazil
250,Turkmenistan
261,Uzbekistan
239,Tajikistan
138,Kyrgyzstan
132,Kazakhstan
167,Mongolia
202,Republic of Korea
67,Dem People's Rep of Korea
147295,China
171,Myanmar
44,Cambodia
264,Viet Nam
139,Lao People's Democratic Republic
153,Malaysia
240,Thailand
40,Brunei Darussalam
196,Philippines
116,Indonesia
222,Singapore
242,Timor-Leste
154,Maldives
175,Nepal
188,Pakistan
115,India
117,Iran  (Islamic Republic of)
231,Sri Lanka
31,Bhutan
23,Bangladesh
1,Afghanistan
187,Oman
137,Kuwait
141,Lebanon
201,Qatar
215,Saudi Arabia
249,Turkey
269,Yemen
118,Iraq
130,Jordan
238,Syrian Arab Republic
121,Israel
92,Georgia
64,Cyprus
21,Bahrain
19,Azerbaijan
13,Armenia
255,United Arab Emirates
165,"Moldova, Republic of"
113,Hungary
198,Poland
203,Romania
254,Ukraine
26,Belarus
65,Czech Republic
223,Slovakia
41,Bulgaria
186,Norway
236,Sweden
147,Lithuania
140,Latvia
119,Ireland
114,Iceland
256,U.K. of Great Britain and Northern Ireland
84,Finland
78,Estonia
69,Denmark
241,The former Yugoslav Republic of Macedonia
62,Croatia
156,Malta
213,San Marino
224,Slovenia
97,Greece
122,Italy
199,Portugal
229,Spain
34,Bosnia and Herzegovina
7,Andorra
3,Albania
166,Monaco
177,Netherlands
148,Luxembourg
146,Liechtenstein
85,France
93,Germany
237,Switzerland
27,Belgium
18,Austria
17,Australia
189,Palau
234,Svalbard and Jan Mayen Islands
151,Madeira Islands
74578,Azores Islands
38,British Indian Ocean Territory
104,Guernsey
128,Jersey
120,Isle of Man
110,Holy See
98,Greenland
268,Western Sahara
91,Gaza Strip
267,West Bank
207,Saint Helena
95,Gibraltar
149,Macau
33364,Hong Kong
102,Abyei
61013,Ilemi triangle
40760,Hala'ib triangle
40762,Ma'tan al-Sarra
193,Paracel Islands
218,Senkaku Islands
216,Scarborough Reef
52,China/India
2,Aksai Chin
230,Spratly Islands
40781,Jammu and Kashmir
15,Arunachal Pradesh
184,Norfolk Island
266,Wallis and Futuna
87,French Polynesia
126,Japan
204,Russian Federation
179,New Zealand
192,Papua New Guinea
262,Vanuatu
225,Solomon Islands
83,Fiji
157,Marshall Islands
173,Nauru
163,Micronesia (Federated States of)
135,Kiribati
212,Samoa
245,Tonga
252,Tuvalu
60,Cook Islands
183,Niue
190,Palmyra Atoll
164,Midway Island
134,Kingman Reef
127,Jarvis Island
129,Johnston Atoll
112,Howland Island
22,Baker Island
185,Northern Mariana Islands
265,Wake Island
178,New Caledonia
244,Tokelau
101,Guam
5,American Samoa
136,Kuril islands
10,Antarctica
109,Heard Island and McDonald Islands
158,Martinique
100,Guadeloupe
55,Clipperton Island
71,Dominica
72,Dominican Republic
11,Antigua and Barbuda
63,Cuba
99,Grenada
123,Jamaica
208,Saint Kitts and Nevis
246,Trinidad and Tobago
20,Bahamas
209,Saint Lucia
211,Saint Vincent and the Grenadines
24,Barbados
108,Haiti
191,Panama
75,El Salvador
180,Nicaragua
162,Mexico
111,Honduras
103,Guatemala
61,Costa Rica
28,Belize
57,Colombia
107,Guyana
73,Ecuador
86,French Guiana
194,Paraguay
233,Suriname
260,Uruguay
263,Venezuela
195,Peru
51,Chile
33,Bolivia
12,Argentina
176,Netherlands Antilles
36,Bouvet Island
228,South Georgia and the South Sandwich Islands
174,Navassa Island
200,Puerto Rico
32,Bird Island
14,Aruba
48,Cayman Islands
168,Montserrat
251,Turks and Caicos islands
39,British Virgin Islands
9,Anguilla
30,Bermuda
81,Falkland Islands (Malvinas)
197,Pitcairn
258,United States Virgin Islands
