iso_31661,m49
TZA,834
ALB,8
DZA,12
AND,20
YEM,887
ZMB,894
ZWE,716
BEN,204
BIH,70
BWA,72
BRA,76
BGR,100
BFA,854
BDI,108
CMR,120
CPV,132
CAF,140
TCD,148
COM,174
COG,178
EGY,818
HRV,191
CYP,196
CIV,384
COD,180
DJI,262
GNQ,226
ERI,232
ETH,231
FRA,250
MNE,499
SRB,688
GAB,266
GMB,270
GHA,288
GRC,300
GNB,624
GIN,324
IRQ,368
ISR,376
ITA,380
JOR,400
KEN,404
LBN,422
LBR,430
LBY,434
MWI,454
MLI,466
MLT,470
MRT,478
MCO,492
MAR,504
MOZ,508
NAM,516
NER,562
NGA,566
PRT,620
RWA,646
SMR,674
STP,678
SAU,682
SEN,686
SLE,694
SOM,706
ESP,724
SYR,760
MKD,807
TGO,768
TUN,788
TUR,792
UGA,800
VAT,336
ESH,732
PSE,275
GIB,292
SHN,654
CCK,166
CXR,162
ATF,260
MYT,175
REU,638
MNG,496
KAZ,398
KOR,410
SGP,702
MDV,462
NPL,524
MUS,480
PLW,585
IOT,86
MAC,446
HKG,344
CHN,156
IND,356
JPN,392
AGO,24
BTN,64
LSO,426
MMR,104
KHM,116
MYS,458
PAK,586
THA,764
VNM,704
AUS,36
IDN,360
SWZ,748
BGD,50
KGZ,417
MDG,450
SYC,690
TJK,762
UZB,860
AFG,4
PHL,608
TLS,626
ZAF,710
BRN,96
PRK,408
LAO,418
IMN,833
FRO,234
SJM,744
SPM,666
GRL,304
ARE,784
HUN,348
FIN,246
ISL,352
NLD,528
BEL,56
LUX,442
LIE,438
TKM,795
KWT,414
BHR,48
QAT,634
OMN,512
CAN,124
LVA,428
NOR,578
POL,616
SWE,752
ARM,51
AUT,40
BLR,112
EST,233
GEO,268
DEU,276
IRL,372
ROU,642
UKR,804
SVK,703
SVN,705
LTU,440
LKA,144
AZE,31
CHE,756
CZE,203
RUS,643
MDA,498
USA,840
IRN,364
GBR,826
GGY,831
JEY,832
MNP,580
GUM,316
SLB,90
MHL,584
FSM,583
PNG,598
FJI,242
MEX,484
GTM,320
SLV,222
NIU,570
NRU,520
WSM,882
TON,776
TUV,798
TKL,772
VUT,548
KIR,296
NZL,554
COK,184
NCL,540
ASM,16
NFK,574
PYF,258
WLF,876
MTQ,474
GLP,312
ABW,533
VIR,850
ECU,218
GUF,254
GRD,308
JAM,388
KNA,659
TTO,780
LCA,662
VCT,670
DMA,212
BRB,52
BHS,44
ATG,28
BLZ,84
CUB,192
HTI,332
GUY,328
PAN,591
COL,170
HND,340
SUR,740
NIC,558
VEN,862
CRI,188
DOM,214
PRI,630
MSR,500
TCA,796
VGB,92
CYM,136
AIA,660
BMU,60
PER,604
CHL,152
BOL,68
PRY,600
ARG,32
URY,858
SGS,239
HMD,334
BVT,74
ATA,10
PCN,612
