name,order,theme,use_for_risk,exclude_from_input,exclude_from_output,col_type,is_nullable,is_required,corresponding_variable
EUFO_2020,10,treecover,1,0,0,float32,1,0,jrc_gfc_2020_prep
GLAD_Primary,20,treecover,1,0,0,float32,1,0,glad_pht_prep
TMF_undist,30,treecover,1,0,0,float32,1,0,jrc_tmf_undisturbed_prep
JAXA_FNF_2020,40,treecover,1,0,0,float32,1,0,jaxa_forest_prep
GFC_TC_2020,50,treecover,1,0,0,float32,1,0,glad_gfc_10pc_prep
ESA_TC_2020,60,treecover,1,0,0,float32,1,0,esa_worldcover_trees_prep
TMF_plant,70,commodities,1,0,0,float32,1,0,jrc_tmf_plantation_prep
Oil_palm_Descals,80,commodities,1,0,0,float32,1,0,creaf_descals_palm_prep
Oil_palm_FDaP,90,commodities,1,0,0,float32,1,0,fdap_palm_prep
Cocoa_ETH,100,commodities,1,0,0,float32,1,0,eth_kalischek_cocoa_prep
Cocoa_bnetd,110,commodities,1,0,0,float32,1,0,civ_ocs2020_prep
Rubber_RBGE,120,commodities,1,0,0,float32,1,0,rbge_rubber_prep
WDPA,130,ancilliary,0,1,0,bool,1,0,wcmc_wdpa_protection_prep
KBA,140,ancilliary,0,1,1,bool,1,0,birdlife_kbas_biodiversity_prep
TMF_def_2000,150,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2001,160,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2002,170,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2003,180,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2004,190,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2005,200,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2006,210,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2007,220,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2008,230,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2009,240,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2010,250,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2011,260,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2012,270,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2013,280,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2014,290,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2015,300,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2016,310,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2017,320,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2018,330,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2019,340,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2020,350,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2021,360,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_def_2022,370,disturbance_before,0,0,0,float32,1,0,tmf_def_per_year_prep
TMF_deg_2000,380,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
TMF_deg_2001,390,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
TMF_deg_2002,400,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
TMF_deg_2003,410,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
TMF_deg_2004,420,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
TMF_deg_2005,430,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
TMF_deg_2006,440,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
TMF_deg_2007,450,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
TMF_deg_2008,460,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
TMF_deg_2009,470,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
TMF_deg_2010,480,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
TMF_deg_2011,490,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
TMF_deg_2012,500,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
TMF_deg_2013,510,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
TMF_deg_2014,520,disturbance_before,0,0,0,float32,1,0,tmf_deg_per_year_prep
