PLOTID,Geo id,Area ha,Country,EUFO 2020,GLAD Primary,TMF undist,JAXA FNF 2020,GFC TC 2020,GLAD LULC 2020,ESA TC 2020,TMF disturbed,RADD alerts,TMF plant,Oil palm Descals,Oil palm FDaP,Cocoa ETH,WDPA
1,11ac3c0b57353f173747a0275cee3a00187e0a73458f3a088082aa3d2ed7d641,0.0,CIV,100,0,0,100,100,100,100,0,-,0,0,0,0,-
2,d091a16acf45e2a855ae6be628a1d3d02724df7bc36ff33312114b94b066df67,0.0,CIV,100,0,0,100,100,0,100,0,-,0,0,0,100,-
3,5086df340ad747fd4684d7fd406caa3536f576add47c35117804067ddfceda4c,0.0,CIV,0,0,0,100,0,100,0,0,-,0,0,0,100,-
4,6057cc646a1f0355ceb7513a828981be4e7384b87ecabb5f23983ce726741f50,0.0,CIV,98,0,0,100,100,98,100,0,-,0,0,0,0,-
5,9c0a96fe0c7449b8009a618c4720002a88fed9db9dc4988c0223638fbee8c717,0.0,CIV,100,0,100,100,100,100,100,0,-,0,0,0,0,-
6,8,0.0,CIV,0,0,0,2,0,0,98,0,-,0,0,0,0,-
7,1,0.0,CIV,0,0,0,100,100,0,34,0,-,0,0,0,0,-
8,0,0.0,CIV,0,0,0,33,100,0,33,0,-,0,0,0,0,-
9,5,0.0,CIV,100,0,0,100,100,100,100,0,-,0,0,0,0,True
10,5,0.0,CIV,100,0,33,100,100,100,100,67,-,0,0,0,0,-
11,0,0.0,CIV,100,0,65,100,100,100,100,35,-,0,0,0,0,-
12,1,0.0,CIV,100,0,0,100,100,100,100,0,-,0,0,0,0,True
13,d,0.0,CIV,100,0,0,100,100,100,100,0,-,0,0,0,0,-
14,3,0.0,CIV,100,0,25,100,100,100,100,50,-,0,0,0,0,True
15,7,0.0,CIV,20,0,0,100,80,20,100,0,-,0,0,0,0,-
16,c,0.0,CIV,100,0,0,100,60,100,80,60,-,0,0,0,0,-
17,a,0.1,CIV,0,0,0,0,1,0,100,0,-,0,0,0,0,-
18,e,0.1,CIV,100,0,0,100,67,100,100,99,-,0,0,0,100,-
19,9,0.1,CIV,100,0,0,100,100,100,100,0,-,0,0,0,0,True
20,0,0.1,CIV,0,0,0,16,100,0,16,0,-,0,0,0,0,-
21,4,0.1,CIV,0,0,0,100,100,0,0,0,-,0,0,0,100,-
22,c,0.1,CIV,100,0,14,100,100,100,100,86,-,0,0,0,0,True
23,8,0.1,CIV,100,0,0,100,100,100,100,100,-,0,0,0,100,-
24,f,0.1,CIV,100,0,0,100,100,100,100,100,-,0,0,0,100,True
25,b,0.1,CIV,0,0,0,100,100,0,100,0,-,0,0,0,87,-
26,2,0.1,CIV,38,0,0,100,100,100,100,38,-,0,0,0,100,True
27,0,0.1,CIV,100,0,0,100,100,50,100,0,-,0,0,0,100,-
28,0,0.1,CIV,100,0,0,100,100,100,100,100,-,0,0,0,0,True
29,9,0.1,CIV,100,0,0,100,100,100,100,100,-,0,0,0,0,True
30,5,0.1,CIV,0,0,0,0,100,0,0,0,-,0,0,0,0,-
31,e,0.1,CIV,0,0,0,100,100,0,0,0,-,0,0,0,0,-
32,d,0.1,CIV,100,0,44,100,0,0,100,56,-,0,0,0,0,True
33,6,0.1,CIV,100,0,0,100,100,100,100,100,-,0,0,0,0,True
34,a,0.1,CIV,100,0,0,100,100,100,100,0,-,0,0,0,0,True
35,a,0.1,CIV,100,0,0,100,100,100,100,100,-,0,0,0,0,-
36,7,0.1,CIV,0,0,0,66,100,0,33,0,-,0,0,0,0,-
37,e,0.1,CIV,0,0,0,0,100,0,0,0,-,0,0,0,0,-
38,a,0.1,CIV,0,0,0,10,100,0,0,0,-,0,0,0,0,-
